name,year,number,price,own,lot_name,remaining_price,url,front_url,back_url
Yogi Berra,1963,340,31,,,31,/ViewCard.cfm/sid/60/cid/10653/1963-Topps-340-Yogi-Berra,/Images/Cards/Baseball/60/60-340Fr.jpg,/Images/Cards/Baseball/60/60-340Bk.jpg
Billy Williams,1963,353,5.75,,,5.75,/ViewCard.cfm/sid/60/cid/10667/1963-Topps-353-Billy-Williams,/Images/Cards/Baseball/60/60-353Fr.jpg,/Images/Cards/Baseball/60/60-353Bk.jpg
Don Drysdale,1963,360,21.5,,,21.5,/ViewCard.cfm/sid/60/cid/10674/1963-Topps-360-Don-Drysdale,/Images/Cards/Baseball/60/60-360Fr.jpg,/Images/Cards/Baseball/60/60-360Bk.jpg
Juan Marichal,1963,440,5.75,,,5.75,/ViewCard.cfm/sid/60/cid/10755/1963-Topps-440-Juan-Marichal,/Images/Cards/Baseball/60/60-440Fr.jpg,/Images/Cards/Baseball/60/60-440Bk.jpg
Whitey Ford,1963,446,37,,,37,/ViewCard.cfm/sid/60/cid/10761/1963-Topps-446-Whitey-Ford,/Images/Cards/Baseball/60/60-446Fr.jpg,/Images/Cards/Baseball/60/60-446Bk.jpg
Harmon Killebrew,1963,500,95,,,95,/ViewCard.cfm/sid/60/cid/10816/1963-Topps-500-Harmon-Killebrew,/Images/Cards/Baseball/60/60-500Fr.jpg,/Images/Cards/Baseball/60/60-500Bk.jpg
Duke Snider,1963,550,16,,,16,/ViewCard.cfm/sid/60/cid/10867/1963-Topps-550-Duke-Snider,/Images/Cards/Baseball/60/60-550Fr.jpg,/Images/Cards/Baseball/60/60-550Bk.jpg
Hoyt Wilhelm,1964,13,4.13,,,4.13,/ViewCard.cfm/sid/61/cid/10907/1964-Topps-13-Hoyt-Wilhelm,/Images/Cards/Baseball/61/61-13Fr.jpg,/Images/Cards/Baseball/61/61-13Bk.jpg
Eddie Mathews,1964,35,5,,,5,/ViewCard.cfm/sid/61/cid/10929/1964-Topps-35-Ed-Mathews,/Images/Cards/Baseball/61/61-35Fr.jpg,/Images/Cards/Baseball/61/61-35Bk.jpg
Don Drysdale,1964,120,6.6,,,6.6,/ViewCard.cfm/sid/61/cid/11014/1964-Topps-120-Don-Drysdale,/Images/Cards/Baseball/61/61-120Fr.jpg,/Images/Cards/Baseball/61/61-120Bk.jpg
