name,player_url,card_url,collect
Mookie Betts,https://www.tcdb.com/Person.cfm/pid/49319/col/Y/yea/2022/Mookie-Betts?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18764335/2022-Topps-505-High-Five-Highway,0
Bryce Harper,https://www.tcdb.com/Person.cfm/pid/40097/col/Y/yea/2022/Bryce-Harper?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009129/2022-Topps-59-NL-Batting-Average-Leaders-(Trea-Turner-/-Juan-Soto-/-Bryce-Harper),0
Bryce Harper,https://www.tcdb.com/Person.cfm/pid/40097/col/Y/yea/2022/Bryce-Harper?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009371/2022-Topps-250-Bryce-Harper,1
Bryce Harper,https://www.tcdb.com/Person.cfm/pid/40097/col/Y/yea/2022/Bryce-Harper?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009372/2022-Topps-250-Bryce-Harper,0
Bryce Harper,https://www.tcdb.com/Person.cfm/pid/40097/col/Y/yea/2022/Bryce-Harper?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009373/2022-Topps-250-Bryce-Harper,0
Bryce Harper,https://www.tcdb.com/Person.cfm/pid/40097/col/Y/yea/2022/Bryce-Harper?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009462/2022-Topps-321-City-of-Walk-Off-Love,0
Bryce Harper,https://www.tcdb.com/Person.cfm/pid/40097/col/Y/yea/2022/Bryce-Harper?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18764158/2022-Topps-367-MVP-Meets-Rookie,0
Bryce Harper,https://www.tcdb.com/Person.cfm/pid/40097/col/Y/yea/2022/Bryce-Harper?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18764331/2022-Topps-501-Philadelphia-Phillies,0
Manny Machado,https://www.tcdb.com/Person.cfm/pid/36824/col/Y/yea/2022/Manny-Machado?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009209/2022-Topps-124-San-Diego-Padres,0
Manny Machado,https://www.tcdb.com/Person.cfm/pid/36824/col/Y/yea/2022/Manny-Machado?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18764461/2022-Topps-600-Manny-Machado,1
Manny Machado,https://www.tcdb.com/Person.cfm/pid/36824/col/Y/yea/2022/Manny-Machado?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18764462/2022-Topps-600b-Manny-Machado,0
