name,year,number,price,own,last_name
Paul Molitor,1982,195,2,1,Molitor
George Brett,1982,200,1.99,1,Brett
Reggie Jackson,1982,300,0.5,1,Jackson
Eddie Murray,1982,390,1.62,1,Murray
Johnny Bench,1982,400,2,1,Bench
Robin Yount,1982,435,0.6,1,Yount
Steve Carlton,1982,480,0.4,1,Carlton
Dennis Eckersley,1982,490,0.5,1,Eckersley
Rod Carew,1982,500,0.37,1,Carew
Dave Winfield,1982,600,0.35,1,Winfield
Rickey Henderson,1982,610,2.5,0,Henderson
Carl Yastrzemski,1982,650,1,0,Yastrzemski
Willie Stargell,1982,715,0.38,0,Stargell
Joe Morgan,1982,754,1.8,0,Morgan
Johnny Bench,1983,60,3.5,1,Bench
Steve Carlton,1983,70,0.4,1,Carlton
Cal Ripken Jr,1983,163,8.27,1,Ripken
Rickey Henderson,1983,180,2.5,1,Henderson
Rod Carew,1983,200,0.3,1,Carew
Dennis Eckersley,1983,270,0.8,1,Eckersley
Mike Schmidt,1983,300,3,1,Schmidt
Robin Yount,1983,350,2,1,Yount
Nolan Ryan,1983,360,6,1,Ryan
Tony Gwynn,1983,482,11,1,Gwynn
Jim Palmer,1983,490,0.9,1,Palmer
Wade Boggs,1983,498,7.54,1,Boggs
Reggie Jackson,1983,500,1,1,Jackson
Eddie Murray,1983,530,1.25,1,Murray
Ozzie Smith,1983,540,1.11,1,Smith
Carl Yastrzemski,1983,550,2,1,Yastrzemski
Tom Seaver,1983,580,0.95,1,Seaver
George Brett,1983,600,3,1,Brett
Joe Morgan,1983,603,0.8,1,Morgan
Paul Molitor,1983,630,1.5,1,Molitor
Dave Winfield,1983,770,1.25,1,Winfield
Robin Yount,1984,10,1,1,Yount
Wade Boggs,1984,30,2.61,0,Boggs
Paul Molitor,1984,60,1.25,1,Molitor
Reggie Jackson,1984,100,1.25,1,Jackson
Ozzie Smith,1984,130,0.22,1,Smith
Joe Morgan,1984,210,1,1,Morgan
Rickey Henderson,1984,230,1.88,0,Henderson
Eddie Murray,1984,240,1.5,1,Murray
Tony Gwynn,1984,251,3.55,1,Gwynn
Dave Winfield,1984,460,1.75,1,Winfield
Nolan Ryan,1984,470,3.5,1,Ryan
Cal Ripken Jr,1984,490,4.25,1,Ripken
George Brett,1984,500,1.5,1,Brett
Rod Carew,1984,600,0.85,1,Carew
Mike Schmidt,1984,700,2,0,Schmidt
Tom Seaver,1984,740,0.75,1,Seaver
Dennis Eckersley,1984,745,0.75,1,Eckersley
Jim Palmer,1984,750,0.75,1,Palmer
Steve Carlton,1984,780,0.38,1,Carlton
Cal Ripken Jr,1985,30,3,1,Ripken
George Brett,1985,100,1.25,1,Brett
Rickey Henderson,1985,115,3.48,1,Henderson
Dennis Eckersley,1985,163,0.85,1,Eckersley
Dave Winfield,1985,180,1.25,1,Winfield
Reggie Jackson,1985,200,0.9,1,Jackson
Rod Carew,1985,300,0.75,1,Carew
Robin Yount,1985,340,1.15,1,Yount
Wade Boggs,1985,350,1.15,0,Boggs
Joe Morgan,1985,352,1.85,0,Morgan
Steve Carlton,1985,360,0.55,1,Carlton
Mike Schmidt,1985,500,1.68,1,Schmidt
Paul Molitor,1985,522,1.25,1,Molitor
Kirby Puckett,1985,536,5,1,Puckett
Ozzie Smith,1985,605,0.25,1,Smith
Tony Gwynn,1985,660,1.43,1,Gwynn
Tom Seaver,1985,670,0.85,1,Seaver
Eddie Murray,1985,700,1.5,0,Murray
Nolan Ryan,1985,760,3.5,1,Ryan
Tony Gwynn,1986,10,1.25,1,Gwynn
Eddie Murray,1986,30,1.25,1,Murray
Dave Winfield,1986,70,1.25,1,Winfield
Nolan Ryan,1986,100,3.5,1,Ryan
Steve Carlton,1986,120,0.25,1,Carlton
Mike Schmidt,1986,200,1.5,1,Schmidt
Paul Molitor,1986,267,1.05,1,Molitor
George Brett,1986,300,1.5,1,Brett
Kirby Puckett,1986,329,1.5,1,Puckett
Cal Ripken Jr,1986,340,2.25,1,Ripken
Tom Seaver,1986,390,1.25,1,Seaver
Rod Carew,1986,400,0.5,1,Carew
Rickey Henderson,1986,500,1.25,1,Henderson
Wade Boggs,1986,510,1.19,1,Boggs
Dennis Eckersley,1986,538,0.8,1,Eckersley
Reggie Jackson,1986,700,1,1,Jackson
Ozzie Smith,1986,730,0.25,1,Smith
Robin Yount,1986,780,1.05,1,Yount
Eddie Murray,1987,120,1,1,Murray
Wade Boggs,1987,150,0.75,1,Boggs
Reggie Jackson,1987,300,0.85,1,Jackson
George Brett,1987,400,0.8,1,Brett
Tom Seaver,1987,425,0.55,1,Seaver
Mike Schmidt,1987,430,0.95,1,Schmidt
Kirby Puckett,1987,450,0.95,1,Puckett
Dennis Eckersley,1987,459,0.65,1,Eckersley
Tony Gwynn,1987,530,0.85,1,Gwynn
Steve Carlton,1987,718,0.5,1,Carlton
Rickey Henderson,1987,735,0.9,1,Henderson
Paul Molitor,1987,741,0.75,1,Molitor
Ozzie Smith,1987,749,0.2,1,Smith
Nolan Ryan,1987,757,1,1,Ryan
Dave Winfield,1987,770,1,1,Winfield
Robin Yount,1987,773,0.95,1,Yount
Cal Ripken Jr,1987,784,1.73,1,Ripken
Duke Snider,1952,37,53.5,0,Snider
Robin Roberts,1952,59,10.75,0,Roberts
Yogi Berra,1952,191,456,0,Berra
Bob Lemon,1952,268,150,0,Lemon
Early Wynn,1952,277,12.5,0,Wynn
Roy Campanella,1952,314,750,0,Campanella
Hoyt Wilhelm,1952,392,500,0,Wilhelm
Eddie Mathews,1952,407,1500,0,Mathews
Roy Campanella,1953,27,125,0,Campanella
Eddie Mathews,1953,37,129,0,Mathews
Early Wynn,1953,61,50.66,0,Wynn
Yogi Berra,1953,104,65,0,Berra
Hoyt Wilhelm,1953,151,37.5,0,Wilhelm
Ralph Kiner,1953,191,24.5,0,Kiner
Whitey Ford,1953,207,129,0,Ford
Eddie Mathews,1954,30,29.01,0,Mathews
Duke Snider,1954,32,96,0,Snider
Hoyt Wilhelm,1954,36,15,0,Wilhelm
