name,year,number,condition,date,bids,price
Bob Feller,1956,200,VG-VGEX,2020-10-07,14,48
Ted Williams,1957,1,VG-VGEX,2021-01-04,30,222.33
Ted Williams,1957,1,LOW GRADE (filler),2021-01-02,16,91
Ted Williams,1957,1,LOW GRADE (crease),2021-01-02,25,64.26
Ted Williams,1957,1,LOW GRADE (crease),2020-12-04,18,73
Ted Williams,1957,1,LOW GRADE,2020-11-27,18,85
Ted Williams,1957,1,LOW GRADE (filler),2020-11-20,19,57
Ted Williams,1957,1,VG-VGEX (crease),2020-11-06,26,76
Ted Williams,1957,1,LOW GRADE (filler),2020-11-06,24,34.55
Ted Williams,1957,1,LOW GRADE (crease),2020-11-06,25,54.51
Ted Williams,1957,1,LOW GRADE (crease),2020-11-06,24,23.5
Ted Williams,1957,1,EX-EXMINT,2020-11-01,29,449.44
Ted Williams,1957,1,LOW GRADE (crease),2020-10-23,24,64
Ted Williams,1957,1,LOW GRADE (filler),2020-10-23,13,41.5
Ted Williams,1957,1,LOW GRADE (crease),2020-10-16,25,72.77
Ted Williams,1957,1,LOW GRADE (crease),2020-10-16,14,32
Ted Williams,1957,1,LOW GRADE (filler),2020-10-09,36,156.5
Willie Mays,1957,10,LOW GRADE (crease),2021-01-02,20,65
Willie Mays,1957,10,LOW GRADE (filler),2020-12-25,12,68.99
Willie Mays,1957,10,EX-EXMINT,2020-12-16,30,209.5
Willie Mays,1957,10,EX-EXMINT,2020-12-13,28,349
Willie Mays,1957,10,EX-EXMINT,2020-12-08,37,350.5
Willie Mays,1957,10,LOW GRADE (crease),2020-11-27,28,61
Willie Mays,1957,10,EX-EXMINT,2020-11-22,20,203.95
Willie Mays,1957,10,LOW GRADE,2020-11-20,15,45
Willie Mays,1957,10,EX-EXMINT,2020-11-19,37,235.83
Willie Mays,1957,10,VG-VGEX (wrinkle),2020-11-13,25,102.74
Willie Mays,1957,10,LOW GRADE (filler),2020-11-13,9,51
Willie Mays,1957,10,LOW GRADE (crease),2020-11-06,17,56
Willie Mays,1957,10,LOW GRADE (crease),2020-11-06,16,60
Willie Mays,1957,10,VG-VGEX,2020-11-01,28,103.5
Willie Mays,1957,10,VG-VGEX (wrinkle),2020-10-23,28,92.11
Hank Aaron,1957,20,VG-VGEX (crease),2021-01-02,30,140
Hank Aaron,1957,20,LOW GRADE (filler),2021-01-02,20,61
Hank Aaron,1957,20,LOW GRADE (filler),2020-12-18,21,78.45
Hank Aaron,1957,20,LOW GRADE (crease),2020-11-06,19,57
Frank Robinson,1957,35,LOW GRADE (crease),2020-12-11,10,41
Frank Robinson,1957,35,EX-EXMINT,2020-12-08,34,591
Frank Robinson,1957,35,VG-VGEX (wrinkle),2020-11-27,33,156
Frank Robinson,1957,35,LOW GRADE (crease),2020-11-27,19,96
Frank Robinson,1957,35,LOW GRADE (crease),2020-11-27,23,72
Frank Robinson,1957,35,VG-VGEX (crease),2020-10-30,24,100
Frank Robinson,1957,35,LOW GRADE (filler) (altered),2020-10-30,20,178.5
Frank Robinson,1957,35,VG-VGEX (crease),2020-10-16,18,62.1
Ernie Banks,1957,55,VG-VGEX (crease),2021-01-02,14,37
Ernie Banks,1957,55,VG-VGEX (crease),2020-12-25,19,51
Ernie Banks,1957,55,LOW GRADE (filler),2020-12-11,11,14
Ernie Banks,1957,55,LOW GRADE (filler),2020-12-11,12,18.5
Ernie Banks,1957,55,LOW GRADE (crease),2020-12-11,11,15.5
Ernie Banks,1957,55,LOW GRADE (crease),2020-12-11,10,16.27
Ernie Banks,1957,55,LOW GRADE (crease),2020-12-11,9,16.5
Ernie Banks,1957,55,LOW GRADE (crease),2020-12-11,11,12.5
Ernie Banks,1957,55,LOW GRADE (crease),2020-12-11,12,12.77
Ernie Banks,1957,55,LOW GRADE,2020-12-11,16,30
Ernie Banks,1957,55,VG-VGEX (wrinkle),2020-12-04,19,35.04
Ernie Banks,1957,55,LOW GRADE (filler),2020-12-04,6,17.5
Ernie Banks,1957,55,LOW GRADE (crease),2020-11-13,9,22.27
Ernie Banks,1957,55,LOW GRADE (crease),2020-11-13,11,31
Ernie Banks,1957,55,LOW GRADE (crease),2020-11-06,11,28.1
Ernie Banks,1957,55,LOW GRADE,2020-11-06,9,22.5
Ernie Banks,1957,55,LOW GRADE (filler),2020-10-16,18,37
