title,date,bids,price
1978 Topps Set Break #325 Bruce Sutter NM-MT OR BETTER *GMCARDS*,2020-02-11,3,3.81
1978 Topps Set Break #325 Bruce Sutter VG-VGEX *GMCARDS*,2020-02-06,3,1.36
1978 Topps Set Break #325 Bruce Sutter NM-MT OR BETTER *GMCARDS*,2020-02-05,7,7
1978 Topps Set Break #670 Jim Rice NR-MINT *GMCARDS*,2020-04-11,6,7.5
1978 Topps Set Break #670 Jim Rice VG-VGEX (crease) *GMCARDS*,2020-04-09,,0.79
1978 Topps Set Break #670 Jim Rice VG-VGEX (crease) *GMCARDS*,2020-04-09,,0.79
1978 Topps Set Break #670 Jim Rice EX-EXMINT *GMCARDS*,2020-04-07,5,2.54
1978 Topps Set Break #670 Jim Rice EX-EXMINT *GMCARDS*,2020-04-03,8,6.5
1978 Topps Set Break #670 Jim Rice VG-VGEX (crease) *GMCARDS*,2020-04-02,4,1.26
1978 Topps Set Break #670 Jim Rice NR-MINT *GMCARDS*,2020-04-01,5,4.75
1978 Topps Set Break #670 Jim Rice NM-MT OR BETTER *GMCARDS*,2020-03-28,11,9
1978 Topps Set Break #670 Jim Rice VG-VGEX *GMCARDS*,2020-03-26,3,1.25
1978 Topps Set Break #670 Jim Rice EX-EXMINT *GMCARDS*,2020-03-24,2,1.1
1978 Topps Set Break #670 Jim Rice EX-EXMINT *GMCARDS*,2020-03-23,4,4.25
1978 Topps Set Break #670 Jim Rice NM-MT OR BETTER *GMCARDS*,2020-03-18,3,10.01
1978 Topps Set Break #670 Jim Rice EX-EXMINT *GMCARDS*,2020-03-18,3,1.25
1978 Topps Set Break #670 Jim Rice VG-VGEX (wrinkle) *GMCARDS*,2020-03-12,3,2
1978 Topps Set Break #670 Jim Rice NR-MINT *GMCARDS*,2020-03-11,5,4
1978 Topps Set Break #670 Jim Rice EX-EXMINT *GMCARDS*,2020-03-11,2,1.25
1978 Topps Set Break #670 Jim Rice NR-MINT *GMCARDS*,2020-03-11,6,4.01
1978 Topps Set Break #670 Jim Rice NR-MINT *GMCARDS*,2020-03-11,4,3.84
1978 Topps Set Break #670 Jim Rice NR-MINT *GMCARDS*,2020-03-11,5,3.95
1978 Topps Set Break #670 Jim Rice NR-MINT *GMCARDS*,2020-03-09,4,2
1978 Topps Set Break #670 Jim Rice VG-VGEX (wrinkle) *GMCARDS*,2020-03-05,2,1.35
1978 Topps Set Break #670 Jim Rice NR-MINT *GMCARDS*,2020-03-03,6,7.5
