title,date,bids,price
1956 Topps Set Break # 31 - Hank Aaron VG-VGEX (crease) *GMCARDS*,2020-09-25,36,144.5
1956 Topps Set Break # 31 - Hank Aaron LOW GRADE (filler) *GMCARDS*,2020-09-25,20,70
1956 Topps Set Break # 31 - Hank Aaron VG-VGEX (white back) *GMCARDS*,2020-09-22,33,165.5
1956 Topps Set Break # 31 - Hank Aaron VG-VGEX (wrinkle) (white back) *GMCARDS*,2020-09-18,36,152.5
1956 Topps Set Break # 31 - Hank Aaron VG-VGEX (white back) *GMCARDS*,2020-09-16,24,152.5
1956 Topps Set Break # 31 - Hank Aaron EX-EXMINT (white back) *GMCARDS*,2020-09-13,25,297.76
1956 Topps Set Break # 31 - Hank Aaron LOW GRADE (crease) (white back) *GMCARDS*,2020-09-11,28,139.25
1956 Topps Set Break # 31 - Hank Aaron LOW GRADE (crease) (white back) *GMCARDS*,2020-08-28,25,43
1956 Topps Set Break # 31 - Hank Aaron VG-VGEX (wrinkle) (marked) *GMCARDS*,2020-07-31,32,93.1
1956 Topps Set Break # 33 - Roberto Clemente EX-EXMINT (white back) *GMCARDS*,2020-10-04,25,466.83
1956 Topps # 33 - Roberto Clemente VG-VGEX (wrinkle) (white back) *GMCARDS*,2020-10-02,17,201
1956 Topps Set Break # 33 - Roberto Clemente EX-EXMINT (white back) *GMCARDS*,2020-09-22,54,681.21
1956 Topps Set Break # 33 - Roberto Clemente VG-VGEX (wrinkle) *GMCARDS*,2020-09-18,37,286
1956 Topps Set Break # 33 - Roberto Clemente VG-VGEX (white back) *GMCARDS*,2020-09-13,37,330
1956 Topps Set Break # 33 - Roberto Clemente LOW GRADE *GMCARDS*,2020-09-11,28,154.6
1956 Topps # 33 - Roberto Clemente LOW GRADE (filler) (paper loss) *GMCARDS*,2020-09-11,16,63
1956 Topps # 33 - Roberto Clemente LOW GRADE (paper loss) (altered) *GMCARDS*,2020-08-21,35,143.6
1956 Topps # 33 - Roberto Clemente LOW GRADE (crease) (white back) *GMCARDS*,2020-08-14,24,157.5
1956 Topps Set Break # 33 - Roberto Clemente VG-VGEX (crease) *GMCARDS*,2020-07-31,34,152.58
1956 Topps Set Break # 79 - Sandy Koufax VG-VGEX (white back) *GMCARDS*,2020-10-18,20,103.5
1956 Topps Set Break # 79 - Sandy Koufax VG-VGEX *GMCARDS*,2020-10-06,22,168.5
1956 Topps Set Break # 79 - Sandy Koufax VG-VGEX *GMCARDS*,2020-10-04,18,135.02
1956 Topps # 79 - Sandy Koufax LOW GRADE (filler) (white back) *GMCARDS*,2020-10-02,19,55
1956 Topps Set Break # 79 - Sandy Koufax VG-VGEX (white back) *GMCARDS*,2020-09-30,21,153.5
1956 Topps Set Break # 79 - Sandy Koufax VG-VGEX (white back) *GMCARDS*,2020-09-22,27,182.5
1956 Topps Set Break # 79 - Sandy Koufax EX-EXMINT (white back) *GMCARDS*,2020-09-16,13,218.55
1956 Topps Set Break # 79 - Sandy Koufax EX-EXMINT (white back) *GMCARDS*,2020-09-13,25,256
1956 Topps Set Break # 79 - Sandy Koufax VG-VGEX (white back) *GMCARDS*,2020-09-05,24,208.5
1956 Topps Set Break # 79 - Sandy Koufax VG-VGEX *GMCARDS*,2020-08-19,36,138.5
1956 Topps Set Break # 79 - Sandy Koufax LOW GRADE (white back) *GMCARDS*,2020-08-14,44,143.5
1956 Topps Set Break # 79 - Sandy Koufax EX-EXMINT *GMCARDS*,2020-08-09,33,355
1956 Topps Set Break #200 - Bob Feller VG-VGEX *GMCARDS*,2020-10-07,14,48
1956 Topps Set Break #200 - Bob Feller VG-VGEX *GMCARDS*,2020-10-06,13,36.53
1956 Topps Set Break #200 - Bob Feller VG-VGEX *GMCARDS*,2020-10-04,23,44.82
1956 Topps Set Break #200 - Bob Feller VG-VGEX (wrinkle) *GMCARDS*,2020-10-02,16,32
1956 Topps Set Break #200 - Bob Feller EX-EXMINT *GMCARDS*,2020-09-30,24,56
1956 Topps Set Break #200 - Bob Feller VG-VGEX *GMCARDS*,2020-09-28,19,57.39
1956 Topps Set Break #200 - Bob Feller LOW GRADE (crease) *GMCARDS*,2020-09-25,13,24.5
1956 Topps Set Break #200 - Bob Feller EX-EXMINT *GMCARDS*,2020-09-24,28,64
1956 Topps Set Break #200 - Bob Feller EX-EXMINT *GMCARDS*,2020-09-22,39,74.78
1956 Topps Set Break #200 - Bob Feller EX-EXMINT *GMCARDS*,2020-09-20,14,75
1956 Topps Set Break #200 - Bob Feller VG-VGEX (wrinkle) *GMCARDS*,2020-09-18,15,37.1
1956 Topps Set Break #200 - Bob Feller EX-EXMINT *GMCARDS*,2020-09-16,14,93
1956 Topps Set Break #200 - Bob Feller EX-EXMINT *GMCARDS*,2020-09-13,29,96
1956 Topps Set Break #200 - Bob Feller VG-VGEX (wrinkle) *GMCARDS*,2020-09-11,10,31
1956 Topps Set Break #200 - Bob Feller LOW GRADE (crease) *GMCARDS*,2020-09-11,18,31
1956 Topps Set Break #200 - Bob Feller VG-VGEX *GMCARDS*,2020-09-02,25,43
1956 Topps Set Break #200 - Bob Feller VG-VGEX (wrinkle) *GMCARDS*,2020-08-28,17,32
1956 Topps Set Break #200 - Bob Feller LOW GRADE (crease) *GMCARDS*,2020-08-21,9,19.5
1956 Topps Set Break #200 - Bob Feller LOW GRADE (crease) *GMCARDS*,2020-08-14,8,21.5
1956 Topps Set Break #200 - Bob Feller EX-EXMINT (altered) *GMCARDS*,2020-08-14,16,40.1
1956 Topps Set Break #200 - Bob Feller LOW GRADE (crease) *GMCARDS*,2020-07-31,13,22.5
1957 Topps Set Break # 1 Ted Williams LOW GRADE (crease) *GMCARDS*,2020-10-23,24,64
1957 Topps Set Break # 1 Ted Williams LOW GRADE (filler) *GMCARDS*,2020-10-23,13,41.5
1957 Topps Set Break # 1 Ted Williams LOW GRADE (crease) *GMCARDS*,2020-10-16,25,72.77
