year,team,remove,url
1964,St. Louis Cardinals,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,Washington Senators,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1965,Baltimore Orioles,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,Boston Red Sox,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,Chicago Cubs,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,Chicago White Sox,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,Cincinnati Reds,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,Cleveland Indians,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,Detroit Tigers,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,Houston Astros,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,Kansas City Athletics,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,Los Angeles Angels,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,Los Angeles Dodgers,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,Milwaukee Braves,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,Minnesota Twins,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,New York Mets,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,New York Yankees,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,Philadelphia Phillies,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,Pittsburgh Pirates,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,San Francisco Giants,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,St. Louis Cardinals,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,Washington Senators,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1966,Atlanta Braves,,https://www.tcdb.com/ViewTeams.cfm/sid/65/1966-Topps
1966,Baltimore Orioles,,https://www.tcdb.com/ViewTeams.cfm/sid/65/1966-Topps
1966,Boston Red Sox,,https://www.tcdb.com/ViewTeams.cfm/sid/65/1966-Topps
1966,California Angels,,https://www.tcdb.com/ViewTeams.cfm/sid/65/1966-Topps
1966,Chicago Cubs,,https://www.tcdb.com/ViewTeams.cfm/sid/65/1966-Topps
1966,Chicago White Sox,,https://www.tcdb.com/ViewTeams.cfm/sid/65/1966-Topps
1966,Cincinnati Reds,,https://www.tcdb.com/ViewTeams.cfm/sid/65/1966-Topps
1966,Cleveland Indians,,https://www.tcdb.com/ViewTeams.cfm/sid/65/1966-Topps
1966,Detroit Tigers,,https://www.tcdb.com/ViewTeams.cfm/sid/65/1966-Topps
1966,Houston Astros,,https://www.tcdb.com/ViewTeams.cfm/sid/65/1966-Topps
1966,Kansas City Athletics,,https://www.tcdb.com/ViewTeams.cfm/sid/65/1966-Topps
1966,Los Angeles Angels,,https://www.tcdb.com/ViewTeams.cfm/sid/65/1966-Topps
1966,Los Angeles Dodgers,,https://www.tcdb.com/ViewTeams.cfm/sid/65/1966-Topps
1966,Minnesota Twins,,https://www.tcdb.com/ViewTeams.cfm/sid/65/1966-Topps
1966,New York Mets,,https://www.tcdb.com/ViewTeams.cfm/sid/65/1966-Topps
1966,New York Yankees,,https://www.tcdb.com/ViewTeams.cfm/sid/65/1966-Topps
1966,Philadelphia Phillies,,https://www.tcdb.com/ViewTeams.cfm/sid/65/1966-Topps
1966,Pittsburgh Pirates,,https://www.tcdb.com/ViewTeams.cfm/sid/65/1966-Topps
1966,San Francisco Giants,,https://www.tcdb.com/ViewTeams.cfm/sid/65/1966-Topps
1966,St. Louis Cardinals,,https://www.tcdb.com/ViewTeams.cfm/sid/65/1966-Topps
1966,Washington Senators,,https://www.tcdb.com/ViewTeams.cfm/sid/65/1966-Topps
1967,Atlanta Braves,,https://www.tcdb.com/ViewTeams.cfm/sid/66/1967-Topps
1967,Baltimore Orioles,,https://www.tcdb.com/ViewTeams.cfm/sid/66/1967-Topps
1967,Boston Red Sox,,https://www.tcdb.com/ViewTeams.cfm/sid/66/1967-Topps
1967,California Angels,,https://www.tcdb.com/ViewTeams.cfm/sid/66/1967-Topps
1967,Chicago Cubs,,https://www.tcdb.com/ViewTeams.cfm/sid/66/1967-Topps
1967,Chicago White Sox,,https://www.tcdb.com/ViewTeams.cfm/sid/66/1967-Topps
1967,Cincinnati Reds,,https://www.tcdb.com/ViewTeams.cfm/sid/66/1967-Topps
1967,Cleveland Indians,,https://www.tcdb.com/ViewTeams.cfm/sid/66/1967-Topps
1967,Detroit Tigers,,https://www.tcdb.com/ViewTeams.cfm/sid/66/1967-Topps
1967,Houston Astros,,https://www.tcdb.com/ViewTeams.cfm/sid/66/1967-Topps
1967,Kansas City Athletics,,https://www.tcdb.com/ViewTeams.cfm/sid/66/1967-Topps
1967,Los Angeles Dodgers,,https://www.tcdb.com/ViewTeams.cfm/sid/66/1967-Topps
1967,Minnesota Twins,,https://www.tcdb.com/ViewTeams.cfm/sid/66/1967-Topps
1967,New York Mets,,https://www.tcdb.com/ViewTeams.cfm/sid/66/1967-Topps
1967,New York Yankees,,https://www.tcdb.com/ViewTeams.cfm/sid/66/1967-Topps
1967,Philadelphia Phillies,,https://www.tcdb.com/ViewTeams.cfm/sid/66/1967-Topps
1967,Pittsburgh Pirates,,https://www.tcdb.com/ViewTeams.cfm/sid/66/1967-Topps
1967,San Francisco Giants,,https://www.tcdb.com/ViewTeams.cfm/sid/66/1967-Topps
1967,St. Louis Cardinals,,https://www.tcdb.com/ViewTeams.cfm/sid/66/1967-Topps
1967,Washington Senators,,https://www.tcdb.com/ViewTeams.cfm/sid/66/1967-Topps
1968,Atlanta Braves,,https://www.tcdb.com/ViewTeams.cfm/sid/68/1968-Topps
