title,date,bids,price
1955 Topps Set Break #123 Sandy Koufax LOW GRADE (crease) *GMCARDS*,2020-12-18,23,338.33
1955 Topps Set Break #123 Sandy Koufax VG-VGEX (wrinkle) *GMCARDS*,2020-12-18,25,430
1955 Topps Set Break #123 Sandy Koufax LOW GRADE (crease) *GMCARDS*,2020-12-11,36,370
1955 Topps Set Break #123 Sandy Koufax LOW GRADE *GMCARDS*,2020-12-04,45,427.01
1955 Topps Set Break #123 Sandy Koufax LOW GRADE (crease) *GMCARDS*,2020-11-13,45,305.32
1955 Topps Set Break #194 Willie Mays VG-VGEX (crease) *GMCARDS*,2020-01-02,48,350
1955 Topps Set Break #194 Willie Mays LOW GRADE (crease) *GMCARDS*,2020-11-27,28,164.5
1955 Topps Set Break #194 Willie Mays EX-EXMINT *GMCARDS*,2020-11-22,39,631
1956 Topps Set Break # 5 - Ted Williams VG-VGEX (white back) *GMCARDS*,2020-01-04,19,267
1956 Topps Set Break # 5 Ted Williams LOW GRADE (crease) (white back) *GMCARDS*,2020-01-02,17,64
1956 Topps Set Break # 5 Ted Williams LOW GRADE (crease) *GMCARDS*,2020-01-02,19,56
1956 Topps Set Break #5 Ted Williams VG-VGEX (crease) *GMCARDS*,2020-12-25,28,203.8
1956 Topps Set Break #5 Ted Williams VG-VGEX *GMCARDS*,2020-12-20,30,281.04
1956 Topps Set Break #5 Ted Williams EX-EXMINT (white back) *GMCARDS*,2020-12-16,29,293
1956 Topps Set Break # 5 - Ted Williams EX-EXMINT *GMCARDS*,2020-12-08,28,355
1956 Topps Set Break # 5 - Ted Williams VG-VGEX (wrinkle) *GMCARDS*,2020-12-04,27,198.55
1956 Topps Set Break # 5 - Ted Williams VG-VGEX (white back) *GMCARDS*,2020-11-29,24,193.5
1956 Topps Set Break # 5 - Ted Williams VG-VGEX *GMCARDS*,2020-11-22,23,158.5
1956 Topps Set Break # 5 - Ted Williams VG-VGEX *GMCARDS*,2020-11-01,29,198.5
1956 Topps Set Break # 10 Warren Spahn VG-VGEX (white back) *GMCARDS*,2020-01-04,9,29
1956 Topps Set Break # 10 Warren Spahn LOW GRADE (filler) *GMCARDS*,2020-01-02,14,22
1956 Topps Set Break # 10 Warren Spahn LOW GRADE (crease) (white back) *GMCARDS*,2020-01-02,10,17.65
1956 Topps Set Break #10 Warren Spahn VG-VGEX (wrinkle) (white back) *GMCARDS*,2020-12-25,15,32.31
1956 Topps Set Break # 10 - Warren Spahn VG-VGEX (white back) *GMCARDS*,2020-12-23,14,26
1956 Topps Set Break # 10 - Warren Spahn VG-VGEX (white back) *GMCARDS*,2020-12-20,15,35
1956 Topps Set Break #10 Warren Spahn LOW GRADE (crease) (white back) *GMCARDS*,2020-12-18,5,10.38
1956 Topps Set Break #10 Warren Spahn VG-VGEX *GMCARDS*,2020-12-16,10,27
1956 Topps Set Break # 10 - Warren Spahn EX-EXMINT *GMCARDS*,2020-12-13,25,140.5
1956 Topps # 10 - Warren Spahn VG-VGEX (wrinkle) (white back) *GMCARDS*,2020-12-11,20,38.99
1956 Topps Set Break # 10 - Warren Spahn EX-EXMINT *GMCARDS*,2020-12-08,13,54
